	X.X	Y.Y
('C-52362_BALBc-1_X01_Y02_416_643', 'Cell Type: B cells')	416	357
('C-52446_BALBc-1_X01_Y02_417_9', 'Cell Type: B cells')	417	991
('C-52574_BALBc-1_X01_Y02_419_463', 'Cell Type: B cells')	419	537
('C-52615_BALBc-1_X01_Y02_419_921', 'Cell Type: B cells')	419	79
('C-52720_BALBc-1_X01_Y02_420_41', 'Cell Type: B cells')	420	959
('C-52738_BALBc-1_X01_Y02_420_619', 'Cell Type: B cells')	420	381
('C-52831_BALBc-1_X01_Y02_421_884', 'Cell Type: B cells')	421	116
('C-52841_BALBc-1_X01_Y02_421_966', 'Cell Type: B cells')	421	34
('C-52887_BALBc-1_X01_Y02_422_566', 'Cell Type: B cells')	422	434
('C-52914_BALBc-1_X01_Y02_422_826', 'Cell Type: B cells')	422	174
('C-52954_BALBc-1_X01_Y02_423_373', 'Cell Type: B cells')	423	627
('C-52986_BALBc-1_X01_Y02_423_804', 'Cell Type: B cells')	423	196
('C-53029_BALBc-1_X01_Y02_424_444', 'Cell Type: B cells')	424	556
('C-53035_BALBc-1_X01_Y02_424_524', 'Cell Type: B cells')	424	476
('C-53103_BALBc-1_X01_Y02_425_394', 'Cell Type: B cells')	425	606
('C-53160_BALBc-1_X01_Y02_426_216', 'Cell Type: B cells')	426	784
('C-53185_BALBc-1_X01_Y02_426_493', 'Cell Type: B cells')	426	507
('C-53235_BALBc-1_X01_Y02_426_993', 'Cell Type: B cells')	426	7
('C-53488_BALBc-1_X01_Y02_43_189', 'Cell Type: B cells')	43	811
('C-53513_BALBc-1_X01_Y02_43_535', 'Cell Type: B cells')	43	465
('C-53632_BALBc-1_X01_Y02_430_943', 'Cell Type: B cells')	430	57
('C-53680_BALBc-1_X01_Y02_431_592', 'Cell Type: B cells')	431	408
('C-53775_BALBc-1_X01_Y02_432_719', 'Cell Type: B cells')	432	281
('C-54002_BALBc-1_X01_Y02_435_644', 'Cell Type: B cells')	435	356
('C-54089_BALBc-1_X01_Y02_436_868', 'Cell Type: B cells')	436	132
('C-54172_BALBc-1_X01_Y02_437_824', 'Cell Type: B cells')	437	176
('C-54244_BALBc-1_X01_Y02_438_683', 'Cell Type: B cells')	438	317
('C-54404_BALBc-1_X01_Y02_44_835', 'Cell Type: B cells')	44	165
('C-54437_BALBc-1_X01_Y02_440_316', 'Cell Type: B cells')	440	684
('C-54530_BALBc-1_X01_Y02_441_532', 'Cell Type: B cells')	441	468
('C-54679_BALBc-1_X01_Y02_443_444', 'Cell Type: B cells')	443	556
('C-54837_BALBc-1_X01_Y02_445_603', 'Cell Type: B cells')	445	397
('C-54860_BALBc-1_X01_Y02_445_91', 'Cell Type: B cells')	445	909
('C-54974_BALBc-1_X01_Y02_447_354', 'Cell Type: B cells')	447	646
('C-55065_BALBc-1_X01_Y02_448_466', 'Cell Type: B cells')	448	534
('C-55103_BALBc-1_X01_Y02_448_891', 'Cell Type: B cells')	448	109
('C-55107_BALBc-1_X01_Y02_448_964', 'Cell Type: B cells')	448	36
('C-55165_BALBc-1_X01_Y02_449_995', 'Cell Type: B cells')	449	5
('C-55457_BALBc-1_X01_Y02_452_827', 'Cell Type: B cells')	452	173
('C-55626_BALBc-1_X01_Y02_454_938', 'Cell Type: B cells')	454	62
('C-55632_BALBc-1_X01_Y02_455_133', 'Cell Type: B cells')	455	867
('C-55682_BALBc-1_X01_Y02_455_662', 'Cell Type: B cells')	455	338
('C-55975_BALBc-1_X01_Y02_459_725', 'Cell Type: B cells')	459	275
('C-55987_BALBc-1_X01_Y02_459_856', 'Cell Type: B cells')	459	144
('C-56102_BALBc-1_X01_Y02_460_412', 'Cell Type: B cells')	460	588
('C-56118_BALBc-1_X01_Y02_460_632', 'Cell Type: B cells')	460	368
('C-56299_BALBc-1_X01_Y02_462_698', 'Cell Type: B cells')	462	302
('C-56546_BALBc-1_X01_Y02_466_18', 'Cell Type: B cells')	466	982
('C-56758_BALBc-1_X01_Y02_468_767', 'Cell Type: B cells')	468	233
('C-56777_BALBc-1_X01_Y02_469_107', 'Cell Type: B cells')	469	893
('C-56993_BALBc-1_X01_Y02_470_811', 'Cell Type: B cells')	470	189
('C-57236_BALBc-1_X01_Y02_474_156', 'Cell Type: B cells')	474	844
('C-57266_BALBc-1_X01_Y02_474_476', 'Cell Type: B cells')	474	524
('C-57317_BALBc-1_X01_Y02_475_174', 'Cell Type: B cells')	475	826
('C-57390_BALBc-1_X01_Y02_475_992', 'Cell Type: B cells')	475	8
('C-57421_BALBc-1_X01_Y02_476_442', 'Cell Type: B cells')	476	558
('C-57434_BALBc-1_X01_Y02_476_544', 'Cell Type: B cells')	476	456
('C-57441_BALBc-1_X01_Y02_476_598', 'Cell Type: B cells')	476	402
('C-57487_BALBc-1_X01_Y02_477_186', 'Cell Type: B cells')	477	814
('C-57490_BALBc-1_X01_Y02_477_220', 'Cell Type: B cells')	477	780
('C-57549_BALBc-1_X01_Y02_477_962', 'Cell Type: B cells')	477	38
('C-57571_BALBc-1_X01_Y02_478_269', 'Cell Type: B cells')	478	731
('C-57683_BALBc-1_X01_Y02_479_571', 'Cell Type: B cells')	479	429
('C-57835_BALBc-1_X01_Y02_480_722', 'Cell Type: B cells')	480	278
('C-57878_BALBc-1_X01_Y02_481_244', 'Cell Type: B cells')	481	756
('C-58001_BALBc-1_X01_Y02_482_917', 'Cell Type: B cells')	482	83
('C-58043_BALBc-1_X01_Y02_483_520', 'Cell Type: B cells')	483	480
('C-58156_BALBc-1_X01_Y02_484_753', 'Cell Type: B cells')	484	247
('C-58206_BALBc-1_X01_Y02_485_407', 'Cell Type: B cells')	485	593
('C-58226_BALBc-1_X01_Y02_485_621', 'Cell Type: B cells')	485	379
('C-58228_BALBc-1_X01_Y02_485_649', 'Cell Type: B cells')	485	351
('C-58327_BALBc-1_X01_Y02_486_99', 'Cell Type: B cells')	486	901
('C-58359_BALBc-1_X01_Y02_487_496', 'Cell Type: B cells')	487	504
('C-58404_BALBc-1_X01_Y02_487_980', 'Cell Type: B cells')	487	20
('C-58545_BALBc-1_X01_Y02_489_773', 'Cell Type: B cells')	489	227
('C-58554_BALBc-1_X01_Y02_489_847', 'Cell Type: B cells')	489	153
('C-58565_BALBc-1_X01_Y02_489_942', 'Cell Type: B cells')	489	58
('C-58586_BALBc-1_X01_Y02_49_255', 'Cell Type: B cells')	49	745
('C-58666_BALBc-1_X01_Y02_490_220', 'Cell Type: B cells')	490	780
('C-58836_BALBc-1_X01_Y02_492_696', 'Cell Type: B cells')	492	304
('C-58842_BALBc-1_X01_Y02_492_801', 'Cell Type: B cells')	492	199
('C-59277_BALBc-1_X01_Y02_497_952', 'Cell Type: B cells')	497	48
('C-59332_BALBc-1_X01_Y02_498_722', 'Cell Type: B cells')	498	278
('C-59402_BALBc-1_X01_Y02_499_631', 'Cell Type: B cells')	499	369
('C-59433_BALBc-1_X01_Y02_499_987', 'Cell Type: B cells')	499	13
('C-59455_BALBc-1_X01_Y02_5_514', 'Cell Type: B cells')	5	486
('C-59697_BALBc-1_X01_Y02_502_382', 'Cell Type: B cells')	502	618
('C-59815_BALBc-1_X01_Y02_504_15', 'Cell Type: B cells')	504	985
('C-60055_BALBc-1_X01_Y02_507_1005', 'Cell Type: B cells')	507	-5
('C-60088_BALBc-1_X01_Y02_507_454', 'Cell Type: B cells')	507	546
('C-60268_BALBc-1_X01_Y02_509_70', 'Cell Type: B cells')	509	930
('C-60435_BALBc-1_X01_Y02_510_900', 'Cell Type: B cells')	510	100
('C-60513_BALBc-1_X01_Y02_511_842', 'Cell Type: B cells')	511	158
('C-60591_BALBc-1_X01_Y02_512_878', 'Cell Type: B cells')	512	122
('C-60694_BALBc-1_X01_Y02_514_485', 'Cell Type: B cells')	514	515
('C-60776_BALBc-1_X01_Y02_515_521', 'Cell Type: B cells')	515	479
('C-60841_BALBc-1_X01_Y02_516_211', 'Cell Type: B cells')	516	789
('C-60860_BALBc-1_X01_Y02_516_505', 'Cell Type: B cells')	516	495
('C-60875_BALBc-1_X01_Y02_516_818', 'Cell Type: B cells')	516	182
('C-60902_BALBc-1_X01_Y02_517_236', 'Cell Type: B cells')	517	764
('C-61018_BALBc-1_X01_Y02_518_607', 'Cell Type: B cells')	518	393
('C-61271_BALBc-1_X01_Y02_520_570', 'Cell Type: B cells')	520	430
('C-61339_BALBc-1_X01_Y02_521_434', 'Cell Type: B cells')	521	566
('C-61380_BALBc-1_X01_Y02_521_947', 'Cell Type: B cells')	521	53
('C-61674_BALBc-1_X01_Y02_525_652', 'Cell Type: B cells')	525	348
('C-61704_BALBc-1_X01_Y02_525_994', 'Cell Type: B cells')	525	6
('C-61719_BALBc-1_X01_Y02_526_269', 'Cell Type: B cells')	526	731
('C-61758_BALBc-1_X01_Y02_526_905', 'Cell Type: B cells')	526	95
('C-61791_BALBc-1_X01_Y02_527_347', 'Cell Type: B cells')	527	653
('C-61831_BALBc-1_X01_Y02_527_730', 'Cell Type: B cells')	527	270
('C-61836_BALBc-1_X01_Y02_527_777', 'Cell Type: B cells')	527	223
('C-61953_BALBc-1_X01_Y02_529_35', 'Cell Type: B cells')	529	965
('C-61991_BALBc-1_X01_Y02_529_837', 'Cell Type: B cells')	529	163
('C-62023_BALBc-1_X01_Y02_53_321', 'Cell Type: B cells')	53	679
('C-62344_BALBc-1_X01_Y02_533_462', 'Cell Type: B cells')	533	538
('C-62399_BALBc-1_X01_Y02_534_418', 'Cell Type: B cells')	534	582
('C-62425_BALBc-1_X01_Y02_534_752', 'Cell Type: B cells')	534	248
('C-62434_BALBc-1_X01_Y02_534_821', 'Cell Type: B cells')	534	179
('C-62442_BALBc-1_X01_Y02_534_888', 'Cell Type: B cells')	534	112
('C-62492_BALBc-1_X01_Y02_535_508', 'Cell Type: B cells')	535	492
('C-62565_BALBc-1_X01_Y02_536_544', 'Cell Type: B cells')	536	456
('C-62586_BALBc-1_X01_Y02_536_855', 'Cell Type: B cells')	536	145
('C-62671_BALBc-1_X01_Y02_537_981', 'Cell Type: B cells')	537	19
('C-62763_BALBc-1_X01_Y02_539_389', 'Cell Type: B cells')	539	611
('C-62777_BALBc-1_X01_Y02_539_557', 'Cell Type: B cells')	539	443
('C-62788_BALBc-1_X01_Y02_539_712', 'Cell Type: B cells')	539	288
('C-62960_BALBc-1_X01_Y02_541_26', 'Cell Type: B cells')	541	974
('C-62991_BALBc-1_X01_Y02_541_75', 'Cell Type: B cells')	541	925
('C-63595_BALBc-1_X01_Y02_548_853', 'Cell Type: B cells')	548	147
('C-63686_BALBc-1_X01_Y02_549_947', 'Cell Type: B cells')	549	53
('C-63912_BALBc-1_X01_Y02_551_904', 'Cell Type: B cells')	551	96
('C-63952_BALBc-1_X01_Y02_552_377', 'Cell Type: B cells')	552	623
('C-64119_BALBc-1_X01_Y02_554_637', 'Cell Type: B cells')	554	363
('C-64205_BALBc-1_X01_Y02_555_738', 'Cell Type: B cells')	555	262
('C-64551_BALBc-1_X01_Y02_56_237', 'Cell Type: B cells')	56	763
('C-64699_BALBc-1_X01_Y02_560_94', 'Cell Type: B cells')	560	906
('C-64829_BALBc-1_X01_Y02_562_691', 'Cell Type: B cells')	562	309
('C-64850_BALBc-1_X01_Y02_562_963', 'Cell Type: B cells')	562	37
('C-64896_BALBc-1_X01_Y02_563_569', 'Cell Type: B cells')	563	431
('C-64897_BALBc-1_X01_Y02_563_602', 'Cell Type: B cells')	563	398
('C-64941_BALBc-1_X01_Y02_564_31', 'Cell Type: B cells')	564	969
('C-64994_BALBc-1_X01_Y02_564_874', 'Cell Type: B cells')	564	126
('C-65052_BALBc-1_X01_Y02_565_665', 'Cell Type: B cells')	565	335
('C-65064_BALBc-1_X01_Y02_565_759', 'Cell Type: B cells')	565	241
('C-65075_BALBc-1_X01_Y02_565_925', 'Cell Type: B cells')	565	75
('C-65095_BALBc-1_X01_Y02_566_271', 'Cell Type: B cells')	566	729
('C-65299_BALBc-1_X01_Y02_568_889', 'Cell Type: B cells')	568	111
('C-65326_BALBc-1_X01_Y02_569_433', 'Cell Type: B cells')	569	567
('C-65481_BALBc-1_X01_Y02_570_500', 'Cell Type: B cells')	570	500
('C-65533_BALBc-1_X01_Y02_571_197', 'Cell Type: B cells')	571	803
('C-65552_BALBc-1_X01_Y02_571_380', 'Cell Type: B cells')	571	620
('C-65700_BALBc-1_X01_Y02_573_349', 'Cell Type: B cells')	573	651
('C-65716_BALBc-1_X01_Y02_573_564', 'Cell Type: B cells')	573	436
('C-65744_BALBc-1_X01_Y02_573_899', 'Cell Type: B cells')	573	101
('C-65912_BALBc-1_X01_Y02_575_992', 'Cell Type: B cells')	575	8
('C-65965_BALBc-1_X01_Y02_576_941', 'Cell Type: B cells')	576	59
('C-66161_BALBc-1_X01_Y02_579_641', 'Cell Type: B cells')	579	359
('C-66381_BALBc-1_X01_Y02_581_736', 'Cell Type: B cells')	581	264
('C-66539_BALBc-1_X01_Y02_583_714', 'Cell Type: B cells')	583	286
('C-66625_BALBc-1_X01_Y02_584_872', 'Cell Type: B cells')	584	128
('C-66780_BALBc-1_X01_Y02_586_608', 'Cell Type: B cells')	586	392
('C-66849_BALBc-1_X01_Y02_587_46', 'Cell Type: B cells')	587	954
('C-67001_BALBc-1_X01_Y02_589_528', 'Cell Type: B cells')	589	472
('C-67087_BALBc-1_X01_Y02_59_592', 'Cell Type: B cells')	59	408
('C-67176_BALBc-1_X01_Y02_590_64', 'Cell Type: B cells')	590	936
('C-67186_BALBc-1_X01_Y02_590_689', 'Cell Type: B cells')	590	311
('C-67202_BALBc-1_X01_Y02_590_825', 'Cell Type: B cells')	590	175
('C-67369_BALBc-1_X01_Y02_593_1000', 'Cell Type: B cells')	593	0
('C-67476_BALBc-1_X01_Y02_594_578', 'Cell Type: B cells')	594	422
('C-67538_BALBc-1_X01_Y02_595_430', 'Cell Type: B cells')	595	570
('C-67823_BALBc-1_X01_Y02_598_978', 'Cell Type: B cells')	598	22
('C-68029_BALBc-1_X01_Y02_600_513', 'Cell Type: B cells')	600	487
('C-68242_BALBc-1_X01_Y02_603_235', 'Cell Type: B cells')	603	765
('C-68295_BALBc-1_X01_Y02_603_794', 'Cell Type: B cells')	603	206
('C-68341_BALBc-1_X01_Y02_604_634', 'Cell Type: B cells')	604	366
('C-68346_BALBc-1_X01_Y02_604_71', 'Cell Type: B cells')	604	929
('C-68427_BALBc-1_X01_Y02_605_663', 'Cell Type: B cells')	605	337
('C-68484_BALBc-1_X01_Y02_606_336', 'Cell Type: B cells')	606	664
('C-68508_BALBc-1_X01_Y02_606_611', 'Cell Type: B cells')	606	389
('C-68608_BALBc-1_X01_Y02_607_745', 'Cell Type: B cells')	607	255
('C-68626_BALBc-1_X01_Y02_607_953', 'Cell Type: B cells')	607	47
('C-68666_BALBc-1_X01_Y02_608_396', 'Cell Type: B cells')	608	604
('C-68709_BALBc-1_X01_Y02_608_893', 'Cell Type: B cells')	608	107
('C-68790_BALBc-1_X01_Y02_609_760', 'Cell Type: B cells')	609	240
('C-68847_BALBc-1_X01_Y02_61_732', 'Cell Type: B cells')	61	268
('C-68852_BALBc-1_X01_Y02_61_768', 'Cell Type: B cells')	61	232
('C-68930_BALBc-1_X01_Y02_610_841', 'Cell Type: B cells')	610	159
('C-69043_BALBc-1_X01_Y02_612_22', 'Cell Type: B cells')	612	978
('C-69048_BALBc-1_X01_Y02_612_265', 'Cell Type: B cells')	612	735
('C-69070_BALBc-1_X01_Y02_612_557', 'Cell Type: B cells')	612	443
('C-69187_BALBc-1_X01_Y02_614_192', 'Cell Type: B cells')	614	808
('C-69384_BALBc-1_X01_Y02_616_696', 'Cell Type: B cells')	616	304
('C-69441_BALBc-1_X01_Y02_617_581', 'Cell Type: B cells')	617	419
('C-69814_BALBc-1_X01_Y02_621_448', 'Cell Type: B cells')	621	552
('C-69943_BALBc-1_X01_Y02_622_815', 'Cell Type: B cells')	622	185
('C-70167_BALBc-1_X01_Y02_625_622', 'Cell Type: B cells')	625	378
('C-70245_BALBc-1_X01_Y02_626_657', 'Cell Type: B cells')	626	343
('C-70250_BALBc-1_X01_Y02_626_738', 'Cell Type: B cells')	626	262
('C-70390_BALBc-1_X01_Y02_628_794', 'Cell Type: B cells')	628	206
('C-70677_BALBc-1_X01_Y02_631_569', 'Cell Type: B cells')	631	431
('C-70732_BALBc-1_X01_Y02_632_214', 'Cell Type: B cells')	632	786
('C-70788_BALBc-1_X01_Y02_632_885', 'Cell Type: B cells')	632	115
('C-70792_BALBc-1_X01_Y02_632_917', 'Cell Type: B cells')	632	83
('C-71010_BALBc-1_X01_Y02_635_775', 'Cell Type: B cells')	635	225
('C-71015_BALBc-1_X01_Y02_635_841', 'Cell Type: B cells')	635	159
('C-71192_BALBc-1_X01_Y02_638_152', 'Cell Type: B cells')	638	848
('C-71313_BALBc-1_X01_Y02_639_527', 'Cell Type: B cells')	639	473
('C-71373_BALBc-1_X01_Y02_64_410', 'Cell Type: B cells')	64	590
('C-71596_BALBc-1_X01_Y02_642_538', 'Cell Type: B cells')	642	462
('C-71667_BALBc-1_X01_Y02_643_341', 'Cell Type: B cells')	643	659
('C-71767_BALBc-1_X01_Y02_644_390', 'Cell Type: B cells')	644	610
('C-71919_BALBc-1_X01_Y02_646_330', 'Cell Type: B cells')	646	670
('C-72032_BALBc-1_X01_Y02_647_871', 'Cell Type: B cells')	647	129
('C-72139_BALBc-1_X01_Y02_649_280', 'Cell Type: B cells')	649	720
('C-72165_BALBc-1_X01_Y02_649_642', 'Cell Type: B cells')	649	358
('C-72176_BALBc-1_X01_Y02_649_80', 'Cell Type: B cells')	649	920
('C-72245_BALBc-1_X01_Y02_65_662', 'Cell Type: B cells')	65	338
('C-72484_BALBc-1_X01_Y02_652_944', 'Cell Type: B cells')	652	56
('C-72716_BALBc-1_X01_Y02_656_182', 'Cell Type: B cells')	656	818
('C-72777_BALBc-1_X01_Y02_656_712', 'Cell Type: B cells')	656	288
('C-72835_BALBc-1_X01_Y02_657_361', 'Cell Type: B cells')	657	639
('C-72877_BALBc-1_X01_Y02_657_890', 'Cell Type: B cells')	657	110
('C-72970_BALBc-1_X01_Y02_659_402', 'Cell Type: B cells')	659	598
('C-72984_BALBc-1_X01_Y02_659_578', 'Cell Type: B cells')	659	422
('C-73026_BALBc-1_X01_Y02_659_964', 'Cell Type: B cells')	659	36
('C-73130_BALBc-1_X01_Y02_660_371', 'Cell Type: B cells')	660	629
('C-73323_BALBc-1_X01_Y02_662_515', 'Cell Type: B cells')	662	485
('C-73330_BALBc-1_X01_Y02_662_600', 'Cell Type: B cells')	662	400
('C-73406_BALBc-1_X01_Y02_663_676', 'Cell Type: B cells')	663	324
('C-73682_BALBc-1_X01_Y02_667_559', 'Cell Type: B cells')	667	441
('C-73864_BALBc-1_X01_Y02_669_904', 'Cell Type: B cells')	669	96
('C-74137_BALBc-1_X01_Y02_672_747', 'Cell Type: B cells')	672	253
('C-74157_BALBc-1_X01_Y02_672_938', 'Cell Type: B cells')	672	62
('C-74183_BALBc-1_X01_Y02_673_288', 'Cell Type: B cells')	673	712
('C-74202_BALBc-1_X01_Y02_673_537', 'Cell Type: B cells')	673	463
('C-74319_BALBc-1_X01_Y02_674_785', 'Cell Type: B cells')	674	215
('C-74367_BALBc-1_X01_Y02_675_381', 'Cell Type: B cells')	675	619
('C-74379_BALBc-1_X01_Y02_675_428', 'Cell Type: B cells')	675	572
('C-74438_BALBc-1_X01_Y02_676_159', 'Cell Type: B cells')	676	841
('C-74507_BALBc-1_X01_Y02_676_988', 'Cell Type: B cells')	676	12
('C-74529_BALBc-1_X01_Y02_677_328', 'Cell Type: B cells')	677	672
('C-74573_BALBc-1_X01_Y02_677_811', 'Cell Type: B cells')	677	189
('C-74598_BALBc-1_X01_Y02_678_172', 'Cell Type: B cells')	678	828
('C-74641_BALBc-1_X01_Y02_678_615', 'Cell Type: B cells')	678	385
('C-74779_BALBc-1_X01_Y02_68_443', 'Cell Type: B cells')	68	557
('C-74924_BALBc-1_X01_Y02_681_731', 'Cell Type: B cells')	681	269
('C-75385_BALBc-1_X01_Y02_687_918', 'Cell Type: B cells')	687	82
('C-75452_BALBc-1_X01_Y02_688_793', 'Cell Type: B cells')	688	207
('C-75503_BALBc-1_X01_Y02_689_468', 'Cell Type: B cells')	689	532
('C-75575_BALBc-1_X01_Y02_69_548', 'Cell Type: B cells')	69	452
('C-75777_BALBc-1_X01_Y02_692_441', 'Cell Type: B cells')	692	559
('C-75798_BALBc-1_X01_Y02_692_654', 'Cell Type: B cells')	692	346
('C-75805_BALBc-1_X01_Y02_692_719', 'Cell Type: B cells')	692	281
('C-76045_BALBc-1_X01_Y02_695_763', 'Cell Type: B cells')	695	237
('C-76047_BALBc-1_X01_Y02_695_820', 'Cell Type: B cells')	695	180
('C-76155_BALBc-1_X01_Y02_697_37', 'Cell Type: B cells')	697	963
('C-76157_BALBc-1_X01_Y02_697_390', 'Cell Type: B cells')	697	610
('C-76261_BALBc-1_X01_Y02_698_588', 'Cell Type: B cells')	698	412
('C-76284_BALBc-1_X01_Y02_698_894', 'Cell Type: B cells')	698	106
('C-76311_BALBc-1_X01_Y02_699_282', 'Cell Type: B cells')	699	718
('C-76337_BALBc-1_X01_Y02_699_564', 'Cell Type: B cells')	699	436
('C-76344_BALBc-1_X01_Y02_699_679', 'Cell Type: B cells')	699	321
('C-76479_BALBc-1_X01_Y02_70_471', 'Cell Type: B cells')	70	529
('C-76545_BALBc-1_X01_Y02_700_356', 'Cell Type: B cells')	700	644
('C-76565_BALBc-1_X01_Y02_700_603', 'Cell Type: B cells')	700	397
('C-76633_BALBc-1_X01_Y02_701_469', 'Cell Type: B cells')	701	531
('C-77012_BALBc-1_X01_Y02_706_499', 'Cell Type: B cells')	706	501
('C-77022_BALBc-1_X01_Y02_706_622', 'Cell Type: B cells')	706	378
('C-77055_BALBc-1_X01_Y02_706_998', 'Cell Type: B cells')	706	2
('C-77190_BALBc-1_X01_Y02_708_738', 'Cell Type: B cells')	708	262
('C-77401_BALBc-1_X01_Y02_710_828', 'Cell Type: B cells')	710	172
('C-77491_BALBc-1_X01_Y02_711_906', 'Cell Type: B cells')	711	94
('C-77533_BALBc-1_X01_Y02_712_413', 'Cell Type: B cells')	712	587
('C-77644_BALBc-1_X01_Y02_713_803', 'Cell Type: B cells')	713	197
('C-77833_BALBc-1_X01_Y02_716_257', 'Cell Type: B cells')	716	743
('C-77991_BALBc-1_X01_Y02_718_159', 'Cell Type: B cells')	718	841
('C-78053_BALBc-1_X01_Y02_718_850', 'Cell Type: B cells')	718	150
('C-78060_BALBc-1_X01_Y02_718_925', 'Cell Type: B cells')	718	75
('C-78089_BALBc-1_X01_Y02_719_369', 'Cell Type: B cells')	719	631
('C-78113_BALBc-1_X01_Y02_719_632', 'Cell Type: B cells')	719	368
('C-78309_BALBc-1_X01_Y02_721_333', 'Cell Type: B cells')	721	667
('C-78374_BALBc-1_X01_Y02_721_954', 'Cell Type: B cells')	721	46
('C-78457_BALBc-1_X01_Y02_722_887', 'Cell Type: B cells')	722	113
('C-78466_BALBc-1_X01_Y02_723_123', 'Cell Type: B cells')	723	877
('C-78589_BALBc-1_X01_Y02_724_723', 'Cell Type: B cells')	724	277
('C-78729_BALBc-1_X01_Y02_726_667', 'Cell Type: B cells')	726	333
('C-78765_BALBc-1_X01_Y02_727_233', 'Cell Type: B cells')	727	767
('C-78858_BALBc-1_X01_Y02_728_317', 'Cell Type: B cells')	728	683
('C-78883_BALBc-1_X01_Y02_728_677', 'Cell Type: B cells')	728	323
('C-78937_BALBc-1_X01_Y02_729_454', 'Cell Type: B cells')	729	546
('C-78946_BALBc-1_X01_Y02_729_586', 'Cell Type: B cells')	729	414
('C-79000_BALBc-1_X01_Y02_73_364', 'Cell Type: B cells')	73	636
('C-79124_BALBc-1_X01_Y02_730_931', 'Cell Type: B cells')	730	69
('C-79128_BALBc-1_X01_Y02_730_977', 'Cell Type: B cells')	730	23
('C-79171_BALBc-1_X01_Y02_731_534', 'Cell Type: B cells')	731	466
('C-79269_BALBc-1_X01_Y02_732_742', 'Cell Type: B cells')	732	258
('C-79364_BALBc-1_X01_Y02_733_888', 'Cell Type: B cells')	733	112
('C-79543_BALBc-1_X01_Y02_735_827', 'Cell Type: B cells')	735	173
('C-79586_BALBc-1_X01_Y02_736_403', 'Cell Type: B cells')	736	597
('C-79601_BALBc-1_X01_Y02_736_604', 'Cell Type: B cells')	736	396
('C-79632_BALBc-1_X01_Y02_737_250', 'Cell Type: B cells')	737	750
('C-79634_BALBc-1_X01_Y02_737_3', 'Cell Type: B cells')	737	997
('C-79643_BALBc-1_X01_Y02_737_366', 'Cell Type: B cells')	737	634
('C-79664_BALBc-1_X01_Y02_737_57', 'Cell Type: B cells')	737	943
('C-79820_BALBc-1_X01_Y02_739_546', 'Cell Type: B cells')	739	454
('C-79964_BALBc-1_X01_Y02_740_484', 'Cell Type: B cells')	740	516
('C-80233_BALBc-1_X01_Y02_744_315', 'Cell Type: B cells')	744	685
('C-80367_BALBc-1_X01_Y02_746_112', 'Cell Type: B cells')	746	888
('C-80487_BALBc-1_X01_Y02_747_644', 'Cell Type: B cells')	747	356
('C-80586_BALBc-1_X01_Y02_748_800', 'Cell Type: B cells')	748	200
('C-80591_BALBc-1_X01_Y02_748_849', 'Cell Type: B cells')	748	151
('C-80621_BALBc-1_X01_Y02_749_281', 'Cell Type: B cells')	749	719
('C-80660_BALBc-1_X01_Y02_749_710', 'Cell Type: B cells')	749	290
('C-80840_BALBc-1_X01_Y02_750_977', 'Cell Type: B cells')	750	23
('C-80920_BALBc-1_X01_Y02_752_157', 'Cell Type: B cells')	752	843
('C-80933_BALBc-1_X01_Y02_752_347', 'Cell Type: B cells')	752	653
('C-80959_BALBc-1_X01_Y02_752_681', 'Cell Type: B cells')	752	319
('C-81055_BALBc-1_X01_Y02_753_730', 'Cell Type: B cells')	753	270
('C-81183_BALBc-1_X01_Y02_755_360', 'Cell Type: B cells')	755	640
('C-81243_BALBc-1_X01_Y02_756_213', 'Cell Type: B cells')	756	787
('C-81269_BALBc-1_X01_Y02_756_466', 'Cell Type: B cells')	756	534
('C-81277_BALBc-1_X01_Y02_756_573', 'Cell Type: B cells')	756	427
('C-81309_BALBc-1_X01_Y02_756_874', 'Cell Type: B cells')	756	126
('C-81353_BALBc-1_X01_Y02_757_444', 'Cell Type: B cells')	757	556
('C-81355_BALBc-1_X01_Y02_757_476', 'Cell Type: B cells')	757	524
('C-81446_BALBc-1_X01_Y02_758_596', 'Cell Type: B cells')	758	404
('C-81458_BALBc-1_X01_Y02_758_756', 'Cell Type: B cells')	758	244
('C-81459_BALBc-1_X01_Y02_758_783', 'Cell Type: B cells')	758	217
('C-81463_BALBc-1_X01_Y02_758_825', 'Cell Type: B cells')	758	175
('C-81725_BALBc-1_X01_Y02_761_43', 'Cell Type: B cells')	761	957
('C-81746_BALBc-1_X01_Y02_761_621', 'Cell Type: B cells')	761	379
('C-81892_BALBc-1_X01_Y02_763_542', 'Cell Type: B cells')	763	458
('C-82092_BALBc-1_X01_Y02_766_413', 'Cell Type: B cells')	766	587
('C-82120_BALBc-1_X01_Y02_766_839', 'Cell Type: B cells')	766	161
('C-82269_BALBc-1_X01_Y02_768_578', 'Cell Type: B cells')	768	422
('C-82462_BALBc-1_X01_Y02_770_223', 'Cell Type: B cells')	770	777
('C-82468_BALBc-1_X01_Y02_770_255', 'Cell Type: B cells')	770	745
('C-82542_BALBc-1_X01_Y02_771_302', 'Cell Type: B cells')	771	698
('C-82661_BALBc-1_X01_Y02_772_660', 'Cell Type: B cells')	772	340
('C-82801_BALBc-1_X01_Y02_774_517', 'Cell Type: B cells')	774	483
('C-82803_BALBc-1_X01_Y02_774_554', 'Cell Type: B cells')	774	446
