	X.X	Y.Y
('C-29014_BALBc-1_X01_Y01_1336_791', 'Cell Type: B cells')	1336	1209
('C-29210_BALBc-1_X01_Y01_134_634', 'Cell Type: B cells')	134	1366
('C-29734_BALBc-1_X01_Y01_140_392', 'Cell Type: B cells')	140	1608
('C-30018_BALBc-1_X01_Y01_144_355', 'Cell Type: B cells')	144	1645
('C-30053_BALBc-1_X01_Y01_144_841', 'Cell Type: B cells')	144	1159
('C-30398_BALBc-1_X01_Y01_149_544', 'Cell Type: B cells')	149	1456
('C-30507_BALBc-1_X01_Y01_15_762', 'Cell Type: B cells')	15	1238
('C-30743_BALBc-1_X01_Y01_152_927', 'Cell Type: B cells')	152	1073
('C-30803_BALBc-1_X01_Y01_153_644', 'Cell Type: B cells')	153	1356
('C-31107_BALBc-1_X01_Y01_157_727', 'Cell Type: B cells')	157	1273
('C-32393_BALBc-1_X01_Y01_174_205', 'Cell Type: B cells')	174	1795
('C-32406_BALBc-1_X01_Y01_174_446', 'Cell Type: B cells')	174	1554
('C-32440_BALBc-1_X01_Y01_174_937', 'Cell Type: B cells')	174	1063
('C-33321_BALBc-1_X01_Y01_185_828', 'Cell Type: B cells')	185	1172
('C-34399_BALBc-1_X01_Y01_199_788', 'Cell Type: B cells')	199	1212
('C-34469_BALBc-1_X01_Y01_20_606', 'Cell Type: B cells')	20	1394
('C-34670_BALBc-1_X01_Y01_202_526', 'Cell Type: B cells')	202	1474
('C-34677_BALBc-1_X01_Y01_202_578', 'Cell Type: B cells')	202	1422
('C-34817_BALBc-1_X01_Y01_204_297', 'Cell Type: B cells')	204	1703
('C-34866_BALBc-1_X01_Y01_204_930', 'Cell Type: B cells')	204	1070
('C-35315_BALBc-1_X01_Y01_210_142', 'Cell Type: B cells')	210	1858
('C-35570_BALBc-1_X01_Y01_213_684', 'Cell Type: B cells')	213	1316
('C-35785_BALBc-1_X01_Y01_216_442', 'Cell Type: B cells')	216	1558
('C-36633_BALBc-1_X01_Y01_227_305', 'Cell Type: B cells')	227	1695
('C-36710_BALBc-1_X01_Y01_228_469', 'Cell Type: B cells')	228	1531
('C-36780_BALBc-1_X01_Y01_229_278', 'Cell Type: B cells')	229	1722
('C-37147_BALBc-1_X01_Y01_233_345', 'Cell Type: B cells')	233	1655
('C-37192_BALBc-1_X01_Y01_233_984', 'Cell Type: B cells')	233	1016
('C-37390_BALBc-1_X01_Y01_236_829', 'Cell Type: B cells')	236	1171
('C-37665_BALBc-1_X01_Y01_24_582', 'Cell Type: B cells')	24	1418
('C-38087_BALBc-1_X01_Y01_245_436', 'Cell Type: B cells')	245	1564
('C-38121_BALBc-1_X01_Y01_245_812', 'Cell Type: B cells')	245	1188
