,tissue,histology,sub-histology,gender,Custom
MOLT13,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_T_cell_leukaemia,F,Unknown
SR786,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,anaplastic_large_cell_lymphoma,M,Unknown
SCC15,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,M,Unknown
RS5,pleura,mesothelioma,NS,M,Unknown
NCIH2126,lung,carcinoma,adenocarcinoma,M,Unknown
NCIH2141,lung,carcinoma,small_cell_carcinoma,M,Unknown
NCIH1385,lung,carcinoma,squamous_cell_carcinoma,F,Unknown
HCC827,lung,carcinoma,adenocarcinoma,F,Unknown
RD,soft_tissue,rhabdomyosarcoma,embryonal,F,Unknown
TT-2,thyroid,carcinoma,medullary_carcinoma,F,Unknown
TF1,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,M,Unknown
HS172T,urinary_tract,carcinoma,NS,M,Unknown
HS834T,skin,malignant_melanoma,NS,F,Unknown
TE125T,soft_tissue,rhabdomyosarcoma,NS,F,Unknown
8305C,thyroid,carcinoma,anaplastic_carcinoma,F,Unknown
UACC812,breast,carcinoma,ductal_carcinoma,F,Unknown
ALLSIL,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_T_cell_leukaemia,M,Unknown
KASUMI2,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia,M,Unknown
DND41,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_T_cell_leukaemia,M,Unknown
ME1,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,M,Unknown
DM3,pleura,mesothelioma,NS,M,Unknown
JEKO1,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,mantle_cell_lymphoma,F,Unknown
