,tissue,histology,sub-histology,gender,Custom
LN18,central_nervous_system,glioma,astrocytoma_Grade_IV,M,Unknown
769P,kidney,carcinoma,clear_cell_renal_cell_carcinoma,F,Unknown
786O,kidney,carcinoma,clear_cell_renal_cell_carcinoma,M,Unknown
CAOV3,ovary,carcinoma,adenocarcinoma,F,Unknown
HEPG2,liver,carcinoma,hepatocellular_carcinoma,M,Unknown
MOLT4,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_T_cell_leukaemia,M,Unknown
NCIH524,lung,carcinoma,small_cell_carcinoma,M,Unknown
NCIH209,lung,carcinoma,small_cell_carcinoma,M,Unknown
MIAPACA2,pancreas,carcinoma,ductal_carcinoma,M,Unknown
MCAS,ovary,carcinoma,adenocarcinoma,F,Unknown
SBC5,lung,carcinoma,small_cell_carcinoma,NA,Unknown
COLO829,skin,malignant_melanoma,NS,M,Unknown
VCAP,prostate,carcinoma,adenocarcinoma,M,Unknown
COLO704,ovary,carcinoma,NS,F,Unknown
IPC298,skin,malignant_melanoma,NS,F,Unknown
CAPAN2,pancreas,carcinoma,ductal_carcinoma,M,Unknown
EFM192A,breast,carcinoma,NS,F,Unknown
HS766T,pancreas,carcinoma,ductal_carcinoma,M,Unknown
EFO27,ovary,carcinoma,mucinous_carcinoma,F,Unknown
A2780,ovary,carcinoma,adenocarcinoma,F,Unknown
NCIH196,lung,carcinoma,small_cell_carcinoma,M,Unknown
IGROV1,ovary,carcinoma,adenocarcinoma,F,Unknown
NCIH889,lung,carcinoma,small_cell_carcinoma,F,Unknown
NCIH211,lung,carcinoma,small_cell_carcinoma,F,Unknown
HS571T,ovary,carcinoma,NS,F,Unknown
MDAPCA2B,prostate,carcinoma,adenocarcinoma,M,Unknown
SKMEL24,skin,malignant_melanoma,NS,M,Unknown
K029AX,skin,malignant_melanoma,NS,NA,Unknown
HT1376,urinary_tract,carcinoma,transitional_cell_carcinoma,F,Unknown
NCIH2171,lung,carcinoma,small_cell_carcinoma,M,Unknown
PANC1005,pancreas,carcinoma,ductal_carcinoma,M,Unknown
EVSAT,breast,carcinoma,NS,F,Unknown
HS695T,skin,malignant_melanoma,NS,M,Unknown
CHL1,skin,malignant_melanoma,NS,NA,Unknown
LOUNH91,lung,carcinoma,squamous_cell_carcinoma,F,Unknown
LK2,lung,carcinoma,squamous_cell_carcinoma,M,Unknown
TOV21G,ovary,carcinoma,clear_cell_carcinoma,F,Unknown
SKMEL3,skin,malignant_melanoma,NS,F,Unknown
ASPC1,pancreas,carcinoma,ductal_carcinoma,F,Unknown
OVSAHO,ovary,carcinoma,adenocarcinoma,F,Unknown
NCIH441,lung,carcinoma,adenocarcinoma,M,Unknown
RERFLCSQ1,lung,carcinoma,squamous_cell_carcinoma,F,Unknown
NCIH2030,lung,carcinoma,non_small_cell_carcinoma,M,Unknown
HMCB,skin,malignant_melanoma,NS,NA,Unknown
FUOV1,ovary,carcinoma,serous_carcinoma,F,Unknown
MALME3M,skin,malignant_melanoma,NS,M,Unknown
KMS12BM,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma,F,Unknown
T98G,central_nervous_system,glioma,astrocytoma_Grade_IV,M,Unknown
HL60,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,F,Unknown
DBTRG05MG,central_nervous_system,glioma,astrocytoma_Grade_IV,F,Unknown
HEYA8,ovary,carcinoma,NS,F,Unknown
NCIH2122,lung,carcinoma,adenocarcinoma,F,Unknown
MELJUSO,skin,malignant_melanoma,NS,F,Unknown
SW620,large_intestine,carcinoma,adenocarcinoma,M,Unknown
HCT116,large_intestine,carcinoma,NS,M,Unknown
VMRCRCZ,kidney,carcinoma,renal_cell_carcinoma,NA,Unknown
DU145,prostate,carcinoma,NS,M,Unknown
MM1S,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma,NA,Unknown
L33,pancreas,carcinoma,NS,NA,Unknown
SKMEL2,skin,malignant_melanoma,NS,M,Unknown
A549,lung,carcinoma,non_small_cell_carcinoma,M,Unknown
A172,central_nervous_system,glioma,astrocytoma_Grade_IV,M,Unknown
NCIH1975,lung,carcinoma,non_small_cell_carcinoma,F,Unknown
COLO679,skin,malignant_melanoma,NS,F,Unknown
KP2,pancreas,carcinoma,NS,F,Unknown
HUH1,liver,carcinoma,hepatocellular_carcinoma,M,Unknown
MDAMB453,breast,carcinoma,NS,F,Unknown
MDAMB231,breast,carcinoma,NS,F,Unknown
OV90,ovary,carcinoma,mixed_carcinoma,F,Unknown
RS411,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia,F,Unknown
OVTOKO,ovary,carcinoma,clear_cell_carcinoma,F,Unknown
OVCAR4,ovary,carcinoma,NS,F,Unknown
HLF,liver,carcinoma,hepatocellular_carcinoma,M,Unknown
HCT15,large_intestine,carcinoma,adenocarcinoma,M,Unknown
SW1463,large_intestine,carcinoma,adenocarcinoma,F,Unknown
SF295,central_nervous_system,glioma,astrocytoma_Grade_IV,NA,Unknown
WM115,skin,malignant_melanoma,NS,F,Unknown
JHH4,liver,carcinoma,hepatocellular_carcinoma,M,Unknown
OE33,oesophagus,other,metaplasia,F,Unknown
CCK81,large_intestine,carcinoma,adenocarcinoma,NA,Unknown
JHH1,liver,carcinoma,hepatocellular_carcinoma,M,Unknown
SJSA1,bone,osteosarcoma,NS,M,Unknown
NCIH2228,lung,carcinoma,adenocarcinoma,F,Unknown
RERFLCAI,lung,carcinoma,squamous_cell_carcinoma,M,Unknown
SKMES1,lung,carcinoma,squamous_cell_carcinoma,M,Unknown
NCIH520,lung,carcinoma,squamous_cell_carcinoma,M,Unknown
JHH5,liver,carcinoma,hepatocellular_carcinoma,M,Unknown
FU97,stomach,carcinoma,diffuse_adenocarcinoma,F,Unknown
COLO800,skin,malignant_melanoma,NS,NA,Unknown
NCIH1963,lung,carcinoma,small_cell_carcinoma,M,Unknown
RL952,endometrium,carcinoma,mixed_adenosquamous_carcinoma,F,Unknown
J82,urinary_tract,carcinoma,transitional_cell_carcinoma,M,Unknown
HCC15,lung,carcinoma,squamous_cell_carcinoma,M,Unknown
M059K,central_nervous_system,glioma,astrocytoma_Grade_IV,M,Unknown
CALU6,lung,carcinoma,undifferentiated_carcinoma,F,Unknown
SKLU1,lung,carcinoma,adenocarcinoma,F,Unknown
SW900,lung,carcinoma,squamous_cell_carcinoma,M,Unknown
UACC62,skin,malignant_melanoma,NS,NA,Unknown
MFE280,endometrium,carcinoma,adenocarcinoma,F,Unknown
MFE319,endometrium,carcinoma,adenocarcinoma,F,Unknown
MFE296,endometrium,carcinoma,adenocarcinoma,F,Unknown
GOS3,central_nervous_system,glioma,astrocytoma,M,Unknown
GI1,central_nervous_system,glioma,gliosarcoma,M,Unknown
PC14,lung,carcinoma,non_small_cell_carcinoma,NA,Unknown
KYSE410,oesophagus,carcinoma,squamous_cell_carcinoma,M,Unknown
A204,soft_tissue,rhabdoid_tumour,NS,F,Unknown
PATU8902,pancreas,carcinoma,ductal_carcinoma,F,Unknown
NCIH810,lung,carcinoma,large_cell_carcinoma,M,Unknown
RERFLCMS,lung,carcinoma,non_small_cell_carcinoma,NA,Unknown
L1236,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,Hodgkin_lymphoma,M,Unknown
DANG,pancreas,carcinoma,NS,NA,Unknown
NCIH460,lung,carcinoma,large_cell_carcinoma,M,Unknown
KYSE140,oesophagus,carcinoma,squamous_cell_carcinoma,M,Unknown
KYSE180,oesophagus,carcinoma,squamous_cell_carcinoma,M,Unknown
HUPT3,pancreas,carcinoma,NS,M,Unknown
EFE184,endometrium,carcinoma,NS,F,Unknown
SW579,thyroid,carcinoma,anaplastic_carcinoma,M,Unknown
MDAMB468,breast,carcinoma,NS,F,Unknown
NCIH526,lung,carcinoma,small_cell_carcinoma,M,Unknown
TOV112D,ovary,carcinoma,endometrioid_carcinoma,F,Unknown
BT549,breast,carcinoma,ductal_carcinoma,F,Unknown
NCIH2196,lung,carcinoma,small_cell_carcinoma,M,Unknown
CAL851,breast,carcinoma,NS,F,Unknown
EFO21,ovary,carcinoma,serous_carcinoma,F,Unknown
A375,skin,malignant_melanoma,NS,F,Unknown
HT29,large_intestine,carcinoma,adenocarcinoma,F,Unknown
NCIH446,lung,carcinoma,small_cell_carcinoma,M,Unknown
HS294T,skin,malignant_melanoma,NS,M,Unknown
SKMEL5,skin,malignant_melanoma,NS,F,Unknown
HS944T,skin,malignant_melanoma,NS,M,Unknown
TCCPAN2,pancreas,carcinoma,NS,F,Unknown
RMGI,ovary,carcinoma,clear_cell_carcinoma,F,Unknown
PC3,prostate,carcinoma,adenocarcinoma,M,Unknown
K562,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,blast_phase_chronic_myeloid_leukaemia,F,Unknown
RT112,urinary_tract,carcinoma,transitional_cell_carcinoma,F,Unknown
NUGC3,stomach,carcinoma,NS,M,Unknown
U87MG,central_nervous_system,glioma,astrocytoma,F,Unknown
CAKI2,kidney,carcinoma,clear_cell_renal_cell_carcinoma,M,Unknown
OE19,oesophagus,carcinoma,adenocarcinoma,M,Unknown
KMRC2,kidney,carcinoma,clear_cell_renal_cell_carcinoma,M,Unknown
JHH2,liver,carcinoma,hepatocellular_carcinoma,M,Unknown
IM95,stomach,carcinoma,intestinal_adenocarcinoma,M,Unknown
MV411,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,M,Unknown
WM2664,skin,malignant_melanoma,NS,F,Unknown
KMRC1,kidney,carcinoma,clear_cell_renal_cell_carcinoma,M,Unknown
KM12,large_intestine,carcinoma,adenocarcinoma,NA,Unknown
COLO849,skin,malignant_melanoma,NS,M,Unknown
T84,large_intestine,carcinoma,adenocarcinoma,M,Unknown
CALU1,lung,carcinoma,squamous_cell_carcinoma,M,Unknown
LOXIMVI,skin,malignant_melanoma,NS,NA,Unknown
NCIH2170,lung,carcinoma,squamous_cell_carcinoma,M,Unknown
SQ1,lung,carcinoma,squamous_cell_carcinoma,NA,Unknown
AN3CA,endometrium,carcinoma,adenocarcinoma,F,Unknown
NCIH2444,lung,carcinoma,non_small_cell_carcinoma,M,Unknown
UACC257,skin,malignant_melanoma,NS,NA,Unknown
KYSE510,oesophagus,carcinoma,squamous_cell_carcinoma,F,Unknown
MOLM13,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,M,Unknown
HUPT4,pancreas,carcinoma,NS,M,Unknown
MOGGCCM,central_nervous_system,glioma,astrocytoma,NA,Unknown
KYSE30,oesophagus,carcinoma,squamous_cell_carcinoma,M,Unknown
KYSE150,oesophagus,carcinoma,squamous_cell_carcinoma,F,Unknown
PSN1,pancreas,carcinoma,ductal_carcinoma,NA,Unknown
NCIH1299,lung,carcinoma,non_small_cell_carcinoma,M,Unknown
PATU8988T,pancreas,carcinoma,ductal_carcinoma,F,Unknown
IGR37,skin,malignant_melanoma,NS,M,Unknown
PANC0403,pancreas,carcinoma,NS,M,Unknown
TYKNU,ovary,carcinoma,undifferentiated_carcinoma,F,Unknown
OVISE,ovary,carcinoma,clear_cell_carcinoma,F,Unknown
EFM19,breast,carcinoma,ductal_carcinoma,F,Unknown
MELHO,skin,malignant_melanoma,NS,F,Unknown
RL,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,B_cell_lymphoma_unspecified,M,Unknown
G361,skin,malignant_melanoma,NS,M,Unknown
NCIH647,lung,carcinoma,mixed_adenosquamous_carcinoma,M,Unknown
GMS10,central_nervous_system,glioma,astrocytoma_Grade_IV,M,Unknown
SEM,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia,F,Unknown
HLFA,lung,carcinoma,squamous_cell_carcinoma,F,Unknown
42MGBA,central_nervous_system,glioma,astrocytoma_Grade_IV,M,Unknown
KCIMOH1,pancreas,carcinoma,ductal_carcinoma,F,Unknown
HCC44,lung,carcinoma,adenocarcinoma,F,Unknown
KYSE70,oesophagus,carcinoma,squamous_cell_carcinoma,M,Unknown
1321N1,central_nervous_system,glioma,astrocytoma,M,Unknown
GAMG,central_nervous_system,glioma,NS,F,Unknown
NCIH522,lung,carcinoma,non_small_cell_carcinoma,M,Unknown
EN,endometrium,carcinoma,NS,F,Unknown
PK59,pancreas,carcinoma,NS,NA,Unknown
SNB19,central_nervous_system,glioma,astrocytoma_Grade_IV,M,Unknown
COLO741,skin,malignant_melanoma,NS,F,Unknown
HDMYZ,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,Hodgkin_lymphoma,NA,Unknown
NCIH661,lung,carcinoma,large_cell_carcinoma,M,Unknown
LNCAPCLONEFGC,prostate,carcinoma,adenocarcinoma,M,Unknown
LS411N,large_intestine,carcinoma,adenocarcinoma,M,Unknown
HCC78,lung,carcinoma,adenocarcinoma,M,Unknown
YKG1,central_nervous_system,glioma,astrocytoma_Grade_IV,F,Unknown
ESS1,endometrium,carcinoma,carcinosarcoma-malignant_mesodermal_mixed_tumour,F,Unknown
U251MG,central_nervous_system,glioma,astrocytoma,M,Unknown
TE11,oesophagus,carcinoma,squamous_cell_carcinoma,NA,Unknown
KS1,central_nervous_system,glioma,astrocytoma_Grade_IV,F,Unknown
HEC1A,endometrium,carcinoma,adenocarcinoma,F,Unknown
TE1,oesophagus,carcinoma,squamous_cell_carcinoma,M,Unknown
JHUEM2,endometrium,carcinoma,adenocarcinoma,F,Unknown
MOGGUVW,central_nervous_system,glioma,astrocytoma,NA,Unknown
RERFLCAD1,lung,carcinoma,adenocarcinoma,M,Unknown
TE5,oesophagus,carcinoma,squamous_cell_carcinoma,NA,Unknown
KELLY,autonomic_ganglia,neuroblastoma,NS,NA,Unknown
NCIH1155,lung,carcinoma,large_cell_carcinoma,M,Unknown
TE15,oesophagus,carcinoma,squamous_cell_carcinoma,F,Unknown
ABC1,lung,carcinoma,non_small_cell_carcinoma,M,Unknown
8MGBA,central_nervous_system,glioma,astrocytoma_Grade_IV,F,Unknown
NCIH1703,lung,carcinoma,adenocarcinoma,M,Unknown
AGS,stomach,carcinoma,adenocarcinoma,F,Unknown
QGP1,pancreas,carcinoma,NS,NA,Unknown
DETROIT562,upper_aerodigestive_tract,carcinoma,NS,F,Unknown
BT474,breast,carcinoma,ductal_carcinoma,F,Unknown
ACHN,kidney,carcinoma,renal_cell_carcinoma,M,Unknown
LOVO,large_intestine,carcinoma,adenocarcinoma,M,Unknown
NCIH1581,lung,carcinoma,large_cell_carcinoma,M,Unknown
SCABER,urinary_tract,carcinoma,transitional_cell_carcinoma,M,Unknown
SKMEL30,skin,malignant_melanoma,NS,M,Unknown
OVKATE,ovary,carcinoma,adenocarcinoma,F,Unknown
22RV1,prostate,carcinoma,NS,M,Unknown
C32,skin,malignant_melanoma,NS,M,Unknown
PANC0327,pancreas,carcinoma,ductal_carcinoma,F,Unknown
RPMI8226,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma,M,Unknown
DLD1,large_intestine,carcinoma,adenocarcinoma,M,Unknown
ES2,ovary,carcinoma,clear_cell_carcinoma,F,Unknown
NCIH1395,lung,carcinoma,adenocarcinoma,F,Unknown
NCIH1781,lung,carcinoma,bronchioloalveolar_adenocarcinoma,F,Unknown
LS1034,large_intestine,carcinoma,adenocarcinoma,M,Unknown
G402,soft_tissue,rhabdoid_tumour,NS,F,Unknown
NCIH146,lung,carcinoma,small_cell_carcinoma,M,Unknown
SW48,large_intestine,carcinoma,adenocarcinoma,F,Unknown
CHP212,autonomic_ganglia,neuroblastoma,NS,NA,Unknown
LS180,large_intestine,carcinoma,adenocarcinoma,F,Unknown
SW403,large_intestine,carcinoma,adenocarcinoma,F,Unknown
NCIH747,large_intestine,carcinoma,adenocarcinoma,M,Unknown
RT4,urinary_tract,carcinoma,transitional_cell_carcinoma,M,Unknown
KATOIII,stomach,carcinoma,adenocarcinoma,M,Unknown
BDCM,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia,M,Unknown
SW1417,large_intestine,carcinoma,adenocarcinoma,F,Unknown
SW948,large_intestine,carcinoma,adenocarcinoma,F,Unknown
HS606T,breast,carcinoma,NS,F,Unknown
MDAMB415,breast,carcinoma,NS,F,Unknown
DMS79,lung,carcinoma,small_cell_carcinoma,NA,Unknown
NCIH2106,lung,carcinoma,non_small_cell_carcinoma,M,Unknown
CORL23,lung,carcinoma,large_cell_carcinoma,M,Unknown
MORCPR,lung,carcinoma,adenocarcinoma,NA,Unknown
HARA,lung,carcinoma,squamous_cell_carcinoma,M,Unknown
SKOV3,ovary,carcinoma,adenocarcinoma,F,Unknown
HPAFII,pancreas,carcinoma,ductal_carcinoma,M,Unknown
MC116,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,B_cell_lymphoma_unspecified,M,Unknown
NCIH1568,lung,carcinoma,non_small_cell_carcinoma,F,Unknown
CA46,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,Burkitt_lymphoma,M,Unknown
A498,kidney,carcinoma,renal_cell_carcinoma,F,Unknown
BCP1,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,B_cell_lymphoma_unspecified,M,Unknown
A673,bone,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,F,Unknown
AU565,breast,carcinoma,NS,F,Unknown
COLO201,large_intestine,carcinoma,adenocarcinoma,M,Unknown
CAPAN1,pancreas,carcinoma,ductal_carcinoma,M,Unknown
NCIH1563,lung,carcinoma,adenocarcinoma,M,Unknown
NCIH358,lung,carcinoma,bronchioloalveolar_adenocarcinoma,M,Unknown
CFPAC1,pancreas,carcinoma,ductal_carcinoma,M,Unknown
NIHOVCAR3,ovary,carcinoma,NS,F,Unknown
NCIH1650,lung,carcinoma,bronchioloalveolar_adenocarcinoma,M,Unknown
NCIH1793,lung,carcinoma,non_small_cell_carcinoma,F,Unknown
NCIH1437,lung,carcinoma,adenocarcinoma,M,Unknown
KNS62,lung,carcinoma,squamous_cell_carcinoma,M,Unknown
HS578T,breast,carcinoma,ductal_carcinoma,F,Unknown
BT20,breast,carcinoma,ductal_carcinoma,F,Unknown
SNU182,liver,carcinoma,hepatocellular_carcinoma,M,Unknown
SKNMC,bone,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,F,Unknown
HH,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,adult_T_cell_lymphoma-leukaemia,M,Unknown
FADU,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,M,Unknown
SJRH30,soft_tissue,rhabdomyosarcoma,NS,M,Unknown
MDAMB361,breast,carcinoma,NS,F,Unknown
MDAMB436,breast,carcinoma,NS,F,Unknown
PANC0213,pancreas,carcinoma,NS,F,Unknown
DB,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,M,Unknown
RDES,bone,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,M,Unknown
CAL27,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,M,Unknown
MESSA,soft_tissue,sarcoma,NS,F,Unknown
SW1271,lung,carcinoma,small_cell_carcinoma,M,Unknown
NCIH1792,lung,carcinoma,adenocarcinoma,M,Unknown
GCT,soft_tissue,malignant_fibrous_histiocytoma-pleomorphic_sarcoma,NS,M,Unknown
SKBR3,breast,carcinoma,NS,F,Unknown
SNU16,stomach,carcinoma,undifferentiated_adenocarcinoma,F,Unknown
NCIH82,lung,carcinoma,small_cell_carcinoma,M,Unknown
NCIN87,stomach,carcinoma,NS,M,Unknown
U2OS,bone,osteosarcoma,NS,F,Unknown
H4,central_nervous_system,glioma,NS,M,Unknown
GDM1,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,F,Unknown
HCC1143,breast,carcinoma,ductal_carcinoma,F,Unknown
T24,urinary_tract,carcinoma,transitional_cell_carcinoma,F,Unknown
G401,soft_tissue,rhabdoid_tumour,NS,M,Unknown
HCC1937,breast,carcinoma,ductal_carcinoma,F,Unknown
HCC1569,breast,carcinoma,metaplastic_carcinoma,F,Unknown
OCUM1,stomach,carcinoma,diffuse_adenocarcinoma,F,Unknown
SAOS2,bone,osteosarcoma,NS,F,Unknown
D283MED,central_nervous_system,primitive_neuroectodermal_tumour-medulloblastoma,NS,M,Unknown
SCC9,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,M,Unknown
HCC1395,breast,carcinoma,ductal_carcinoma,F,Unknown
NMCG1,central_nervous_system,glioma,NS,NA,Unknown
TEN,endometrium,carcinoma,clear_cell_carcinoma,F,Unknown
HS604T,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,Hodgkin_lymphoma,M,Unknown
TE9,oesophagus,carcinoma,squamous_cell_carcinoma,M,Unknown
KNS42,central_nervous_system,glioma,NS,M,Unknown
KYSE520,oesophagus,carcinoma,squamous_cell_carcinoma,F,Unknown
KYSE270,oesophagus,carcinoma,squamous_cell_carcinoma,M,Unknown
JHUEM1,endometrium,carcinoma,adenocarcinoma,F,Unknown
YH13,central_nervous_system,glioma,astrocytoma_Grade_IV,M,Unknown
IALM,lung,carcinoma,large_cell_carcinoma,M,Unknown
NCIH2052,pleura,mesothelioma,NS,M,Unknown
EB2,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,Burkitt_lymphoma,F,Unknown
SKNFI,autonomic_ganglia,neuroblastoma,NS,M,Unknown
SKNAS,autonomic_ganglia,neuroblastoma,NS,F,Unknown
GA10,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,Burkitt_lymphoma,M,Unknown
SNU398,liver,carcinoma,hepatocellular_carcinoma,M,Unknown
SNU423,liver,carcinoma,hepatocellular_carcinoma,M,Unknown
SCC4,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,M,Unknown
EB1,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,Burkitt_lymphoma,F,Unknown
HCC1187,breast,carcinoma,ductal_carcinoma,F,Unknown
SNU387,liver,carcinoma,hepatocellular_carcinoma,F,Unknown
DAUDI,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,Burkitt_lymphoma,M,Unknown
HT,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,B_cell_lymphoma_unspecified,M,Unknown
MJ,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,mycosis_fungoides-Sezary_syndrome,M,Unknown
JM1,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,B_cell_lymphoma_unspecified,NA,Unknown
C2BBE1,large_intestine,carcinoma,adenocarcinoma,M,Unknown
SKES1,bone,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,M,Unknown
EPLC272H,lung,carcinoma,squamous_cell_carcinoma,M,Unknown
BXPC3,pancreas,carcinoma,ductal_carcinoma,F,Unknown
NCIH1355,lung,carcinoma,adenocarcinoma,M,Unknown
SNU5,stomach,carcinoma,undifferentiated_adenocarcinoma,F,Unknown
SNU475,liver,carcinoma,hepatocellular_carcinoma,M,Unknown
HEC251,endometrium,carcinoma,adenocarcinoma,F,Unknown
GCIY,stomach,carcinoma,adenocarcinoma,F,Unknown
SH10TC,stomach,carcinoma,NS,NA,Unknown
CAOV4,ovary,carcinoma,adenocarcinoma,F,Unknown
HCC2218,breast,carcinoma,ductal_carcinoma,F,Unknown
KMS21BM,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma,M,Unknown
KMS26,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma,M,Unknown
KMS27,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma,M,Unknown
KO52,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,M,Unknown
KMS28BM,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma,F,Unknown
KNS60,central_nervous_system,glioma,astrocytoma_Grade_IV,M,Unknown
KNS81,central_nervous_system,glioma,astrocytoma_Grade_IV,M,Unknown
KPNSI9S,autonomic_ganglia,neuroblastoma,NS,M,Unknown
LU99,lung,carcinoma,large_cell_carcinoma,M,Unknown
KMS34,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma,F,Unknown
MKN1,stomach,carcinoma,mixed_adenosquamous_carcinoma,M,Unknown
MKN74,stomach,carcinoma,tubular_adenocarcinoma,M,Unknown
KP3,pancreas,carcinoma,ductal_carcinoma,NA,Unknown
NCO2,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,chronic_myeloid_leukaemia,F,Unknown
KHM1B,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma,M,Unknown
HSC2,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,M,Unknown
KG1C,central_nervous_system,glioma,astrocytoma_Grade_IV,M,Unknown
HUH7,liver,carcinoma,hepatocellular_carcinoma,M,Unknown
KMBC2,urinary_tract,carcinoma,NS,NA,Unknown
KMRC20,kidney,carcinoma,renal_cell_carcinoma,NA,Unknown
HUCCT1,biliary_tract,carcinoma,NS,M,Unknown
KIJK,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,anaplastic_large_cell_lymphoma,M,Unknown
A4FUK,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,F,Unknown
KALS1,central_nervous_system,glioma,NS,F,Unknown
HEC108,endometrium,carcinoma,adenocarcinoma,F,Unknown
HEL9217,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,M,Unknown
HUH28,biliary_tract,carcinoma,NS,NA,Unknown
CMK115,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,NA,Unknown
HEC265,endometrium,carcinoma,adenocarcinoma,F,Unknown
CAL12T,lung,carcinoma,non_small_cell_carcinoma,M,Unknown
THP1,haematopoietic_and_lymphoid_tissue,haematopoietic_neoplasm,acute_myeloid_leukaemia,M,Unknown
A3KAW,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,F,Unknown
SKNSH,autonomic_ganglia,neuroblastoma,NS,F,Unknown
HCC1954,breast,carcinoma,ductal_carcinoma,F,Unknown
CAMA1,breast,carcinoma,NS,F,Unknown
HEC6,endometrium,carcinoma,adenocarcinoma,F,Unknown
AM38,central_nervous_system,glioma,astrocytoma_Grade_IV,M,Unknown
HEC50B,endometrium,carcinoma,adenocarcinoma,F,Unknown
HSC3,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,M,Unknown
HSC4,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,M,Unknown
KMS11,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma,F,Unknown
KP4,pancreas,carcinoma,ductal_carcinoma,M,Unknown
KE39,stomach,carcinoma,NS,M,Unknown
COV504,ovary,carcinoma,NS,F,Unknown
KE97,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma,M,Unknown
VMRCRCW,kidney,carcinoma,NS,M,Unknown
HGC27,stomach,carcinoma,undifferentiated_adenocarcinoma,NA,Unknown
LUDLU1,lung,carcinoma,squamous_cell_carcinoma,M,Unknown
HUG1N,stomach,carcinoma,NS,M,Unknown
U266B1,haematopoietic_and_lymphoid_tissue,lymphoid_neoplasm,plasma_cell_myeloma,M,Unknown
NUGC4,stomach,carcinoma,signet_ring_adenocarcinoma,NA,Unknown
HMC18,breast,carcinoma,NS,F,Unknown
