	('B cells', 'Broad Cell Type: B cells')	('Dendritic cells', 'Broad Cell Type: Dendritic cells')	('Eosinophils', 'Broad Cell Type: Eosinophils')	('Mast cells', 'Broad Cell Type: Mast cells')	('Monocytes and Macrophages', 'Broad Cell Type: Monocytes and Macrophages')	('NK cells', 'Broad Cell Type: NK cells')	('PMNs', 'Broad Cell Type: PMNs')	('Plasma cells', 'Broad Cell Type: Plasma cells')	('T cells', 'Broad Cell Type: T cells')
BIRC3_18501	0.014278486931470087	2.549568897539138	0.11675556678070216	-0.23787290681456089	-0.46250707680053055	-0.4134320799530588	-0.7836883858830138	-0.6401956236351986	-0.1429068781649482
BLK_14560	2.666211714864856	-0.34351325092254853	-0.31642314081770556	-0.35146055895639156	-0.3399814457369601	-0.3493110241012575	-0.35086346594107654	-0.31243455947540116	-0.30222426891351417
BMP2K_7770	-0.4975323018267931	-0.15374256383443638	0.31703787206139467	2.5042139179572165	-0.08956201327530641	-0.6693020198444521	-0.07260718446041214	-0.6784004959828009	-0.6601052107944096
BPI_29783	-0.6731461270031373	-0.6669272152587511	0.5365521091773552	2.170703062101942	-0.4425268175721798	0.8915896207951645	-0.517913137188254	-0.6635539752123103	-0.6347775198398293
BRAF_13057	2.3433944304842855	-0.5670407938466913	0.6744302240313197	-0.6997942753878981	-0.5875746057397556	-0.6007633091829393	0.2722412294458999	-0.1791186385962273	-0.6557742612079931
BRSK2_17075	-1.0836444773013028	-0.053098132221459045	-1.0070758469892958	1.1705552616326917	-0.8137280163586615	-0.09258635665909827	-0.6593868464530122	1.5037973507893514	1.035167063560787
BST1_7357	-0.5246777298419172	-0.4026825936721627	-0.6259935871157134	0.14078794982131546	0.36489603219443584	-0.43034202986096415	2.5084482968991235	-0.5834641642295133	-0.44697217419460417
BTNL8_10158	-0.3676929396205701	-0.35769230664947754	-0.12140029471777608	-0.3657880571498858	-0.3545607953150951	-0.3723396983748152	2.6579964011443047	-0.3803200014527577	-0.3382023078639264
C11orf80_18106	0.1057344621424792	-0.3901747713439641	-0.34021118131152805	-0.35745157349320644	-0.4570615128389996	-0.39318673495269224	-0.4210309893307161	2.628928576785925	-0.37554627565729826
C1orf54_1773	-0.5823251930758524	2.4526654557421006	-0.1866728165167232	-0.3235520263604721	0.6777938508078404	-0.5042715710732577	-0.5757577430776374	-0.5092597057147591	-0.4486202507312408
C3AR1_20352	-0.6399590327426327	-0.4942159643886141	2.347646486134401	0.8380130610626022	0.05558561672582015	-0.48003245708235764	-0.4375412200450088	-0.6010296954727723	-0.5884667941914383
C5AR1_31653	-0.5386327735245975	-0.2991468682079523	0.0993940660301838	-0.3975071507487173	0.15031201489809956	-0.4953136196499683	2.567823411828753	-0.551860972407428	-0.5350681082183728
C5AR2_31654	-0.5800026683153745	-0.5126888579419218	1.3839387479855656	-0.5091724648627116	-0.3562093659170671	-0.43783991954158996	2.081835129522696	-0.5601960460732925	-0.5096645548563037
CA8_15007	-0.45784800074880655	-0.34142525251967504	-0.5472295821430773	2.4617884016426688	-0.4726639694038351	-0.5859292161163212	-0.22079250226834957	-0.5031864840647409	0.667286605622137
CAMP_5838	-0.7001386804899742	-0.6269875812939036	0.279730268838016	-0.36945993757031964	-0.5149758820412346	0.9939240181837167	2.2019441991034814	-0.6585261917090843	-0.6055102130206979
CASP5_18525	-0.5250697683885422	-0.418857889693228	-0.27273848368868714	-0.40061350941594565	0.5221247867702101	-0.3585035073705425	2.5168436970864168	-0.6127085392340104	-0.4504767860656713
CCDC102B_29190	-0.7259311546601567	2.0833859833603565	0.22327510919630816	-0.1355300183496857	1.1545212712591264	-0.5100130248094701	-0.7427997585547416	-0.7523255584010953	-0.594582849040641
CCL1_27475	-0.4363754982966106	0.41691844087828356	-0.43592149144014675	2.560738817100438	-0.4269488822505591	-0.3848337725391127	-0.4381676306247572	-0.43506126792263633	-0.42034871490489906
CCL13_27474	-0.42329596668389635	2.4937993467517945	-0.46371305080881375	-0.28833541839118243	0.6106880242999914	-0.48091384047832547	-0.47467785493715	-0.47728413491003174	-0.4962671048423853
CCL14_27525	-0.5727349480294802	-0.013188257440414127	-0.3859339655680266	-0.36949383509837175	2.600107481798476	-0.5528869155145532	0.056956299230113416	-0.267633526730135	-0.4951923326476079
CCL17_26164	-0.3565297610664865	2.6647617213284054	-0.32833363362522505	-0.36630491899475537	-0.24465623460575073	-0.35224438642149325	-0.3676662760674881	-0.3350073540118547	-0.31401915653535223
CCL18_27532	-0.5319194789093092	0.7025461964116315	-0.5123448628875356	-0.056322633496740875	2.433509811497588	-0.5040054458414142	-0.5111053667424797	-0.5059734177910205	-0.5143848022407186
CCL19_16020	-0.40126318015958523	0.15718579150985207	-0.38501277762694824	-0.43122986016767456	2.6207414197434766	-0.39417060694520323	-0.39823785905607395	-0.3458287293858977	-0.42218419791194645
CCL20_5227	-0.4718165100540483	0.34533404856469274	-0.474193186119725	2.566803077490141	-0.2939665889459764	-0.4873658011063764	-0.48393531584176763	-0.49371107777228673	-0.20714864621465326
CCL22_26162	-0.3571082544128452	2.662855434934373	-0.34747433757662427	-0.3518408387582149	-0.1919423269120383	-0.3548223133792417	-0.3534441903778583	-0.36036155667659947	-0.3458616168409504
